1/0 |  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20
----+------------------------------------------------------------
  1 | 75 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
  2 | 55 85 95 97 99 98 99 99 99 99 99 99 99 99 99 99 99 00 00 00
  3 | 41 68 84 93 96 97 97 98 98 99 99 99 99 99 99 99 99 99 99 99
  4 | 30 55 72 85 92 94 95 96 97 98 98 98 98 99 99 99 99 99 99 99
  5 | 22 42 61 75 85 91 92 93 95 96 97 98 97 98 98 98 99 99 99 99
  6 | 15 33 49 64 76 85 89 90 93 95 95 96 96 97 97 98 98 99 99 99
  7 | 11 26 40 55 68 78 84 88 91 92 94 94 95 95 96 97 98 98 98 99
  8 |  8 19 31 45 59 71 78 84 87 89 91 92 93 94 95 96 97 97 98 98
  9 |  6 15 25 36 50 62 71 78 84 87 89 91 91 92 93 94 95 96 97 97
 10 |  4 10 20 30 41 54 63 73 78 83 86 89 89 89 91 92 94 95 96 96
 11 |  3  7 14 23 34 45 56 66 73 78 84 87 87 88 88 91 92 94 94 96
 12 |  2  5 11 18 28 38 49 59 66 73 78 83 86 86 87 88 90 92 93 94
 13 |  1  4  8 14 23 32 41 50 61 68 74 79 82 84 85 86 89 90 91 92
 14 |  1  2  6 11 18 26 35 44 53 61 69 74 79 82 83 84 86 88 90 91
 15 |  0  2  4  8 14 21 29 37 46 54 63 69 75 78 81 82 84 86 88 89
 16 |  0  1  3  6 11 17 24 32 40 48 57 63 71 75 78 80 82 84 86 87
 17 |  0  0  2  5  8 13 19 26 33 43 50 58 65 72 74 77 80 82 84 85
 18 |  0  0  1  3  6 10 16 22 29 36 44 52 58 65 71 74 77 79 82 84
 19 |  0  0  1  2  5  8 13 18 25 31 38 45 53 60 66 71 74 77 79 82
 20 |  0  0  0  1  3  6 10 15 20 27 33 40 48 55 61 67 70 75 78 81

1/1 |  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20
----+------------------------------------------------------------
  1 | 74 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
  2 | 55 86 96 97 97 98 99 99 99 99 99 99 99 99 00 99 99 00 99 00
